ID,Type,Electricity (kWh/month),Cooking Fuel (kg/month),No of Cylinders,Water Heating (kWh/month),Waste (kg/month),Private Transportation (km/month),Electricity Emissions (kg CO₂/month),Cooking Emissions (kg CO₂/month),Transportation Emissions (kg CO₂/month),Waste Emissions (kg CO₂/month),Total Emissions (kg CO₂/month),AQI
Household_1,Household,379,19,1.357,40,27,488,310.78,56.677,75.152,5.4,450.7744366689266,296
Household_2,Household,220,11,0.786,55,38,514,180.39999999999998,32.813,79.156,7.6000000000000005,307.9639925350415,296
Household_3,Household,274,15,1.071,53,40,399,224.67999999999998,44.745000000000005,61.446000000000005,8.0,332.46606565230815,296
Household_4,Household,303,28,2.0,32,40,557,248.45999999999998,83.524,85.778,8.0,427.4459519247525,296
Household_5,Household,287,16,1.143,59,25,491,235.33999999999997,47.728,75.614,5.0,351.769098607122,296
Household_6,Household,387,25,1.786,30,31,321,317.34,74.575,49.434,6.2,448.17585396886864,296
Household_7,Household,288,21,1.5,56,29,487,236.16,62.643,74.998,5.800000000000001,380.48746697398013,296
Household_8,Household,214,19,1.357,59,38,354,175.48,56.677,54.516000000000005,7.6000000000000005,311.4942860568497,296
Household_9,Household,263,29,2.071,32,24,434,215.66,86.507,66.836,4.800000000000001,371.51317138509756,296
Household_10,Household,220,13,0.929,36,37,388,180.39999999999998,38.779,59.752,7.4,287.23142837653285,296
Household_11,Household,259,18,1.286,47,28,352,212.38,53.694,54.208,5.6000000000000005,328.2516141571205,296
Household_12,Household,329,24,1.714,57,34,563,269.78,71.592,86.702,6.800000000000001,430.32579684111545,296
Household_13,Household,374,7,0.5,43,36,349,306.68,20.881,53.746,7.2,380.48207266788353,296
Household_14,Household,303,8,0.571,31,25,353,248.45999999999998,23.864,54.362,5.0,344.6741132484705,296
Household_15,Household,305,8,0.571,51,37,517,250.1,23.864,79.61800000000001,7.4,351.172825570397,296
Household_16,Household,243,6,0.429,39,23,569,199.26,17.898,87.62599999999999,4.6000000000000005,296.10481928312726,296
Household_17,Household,294,20,1.429,44,27,514,241.07999999999998,59.660000000000004,79.156,5.4,392.0986537929548,296
Household_18,Household,389,12,0.857,50,35,536,318.97999999999996,35.796,82.54400000000001,7.0,455.89814842024003,296
Household_19,Household,281,19,1.357,50,32,340,230.42,56.677,52.36000000000001,6.4,341.34290342399356,296
Household_20,Household,356,19,1.357,42,20,308,291.91999999999996,56.677,47.432,4.0,395.6684651235012,296
Household_21,Household,287,5,0.357,41,27,362,235.33999999999997,14.915000000000001,55.748,5.4,314.2284352610679,296
Household_22,Household,338,23,1.643,46,27,462,277.15999999999997,68.60900000000001,71.14800000000001,5.4,415.2384732325682,296
Household_23,Household,362,5,0.357,56,24,530,296.84,14.915000000000001,81.62,4.800000000000001,390.35787479388034,296
Household_24,Household,240,11,0.786,38,27,567,196.79999999999998,32.813,87.318,5.4,331.1269258798636,296
Household_25,Household,361,5,0.357,45,24,398,296.02,14.915000000000001,61.29200000000001,4.800000000000001,383.09831100783623,296
Household_26,Household,371,12,0.857,51,22,526,304.21999999999997,35.796,81.004,4.4,438.531588863181,296
Household_27,Household,300,19,1.357,43,22,556,245.99999999999997,56.677,85.62400000000001,4.4,380.175109876345,296
Household_28,Household,204,30,2.143,52,33,582,167.28,89.49000000000001,89.628,6.6000000000000005,347.9733751308938,296
Household_29,Household,336,19,1.357,44,29,478,275.52,56.677,73.61200000000001,5.800000000000001,414.4207956226946,296
Household_30,Household,262,11,0.786,46,39,395,214.83999999999997,32.813,60.83,7.800000000000001,307.0267915022563,296
Household_31,Household,331,9,0.643,52,26,536,271.41999999999996,26.847,82.54400000000001,5.2,392.4278743715464,296
Household_32,Household,342,15,1.071,58,23,312,280.44,44.745000000000005,48.048,4.6000000000000005,390.07927087226335,296
